Date,Open,High,Low,Close,Adj Close,Volume,Open_Direction,High_Direction,Low_Direction,Close_Direction,Adj Close_Direction
2016/8/4,26.39500046,26.5,26.31999969,26.46750069,24.47488785,109634800,up,up,up,up,up
2016/8/5,26.56749916,26.91250038,26.54500008,26.87000084,24.84708786,162213600,up,up,up,up,up
2016/8/8,26.87999916,27.09250069,26.79000092,27.09250069,25.05283356,112148800,up,up,up,up,up
2016/8/9,27.05750084,27.23500061,27.00250053,27.20249939,25.15455246,105260800,up,up,up,up,up
2016/8/10,27.17749977,27.22500038,26.94000053,27,24.9672966,96034000,up,down,down,down,down
2016/8/11,27.12999916,27.23250008,26.96249962,26.98250008,24.95112038,109938000,down,up,up,down,down
2016/8/12,26.94499969,27.11000061,26.94499969,27.04500008,25.00891113,74641600,down,down,down,up,up
2016/8/15,27.03499985,27.38500023,27.02000046,27.37000084,25.30944252,103472800,up,up,up,up,up
2016/8/16,27.40749931,27.55750084,27.30249977,27.34499931,25.28632164,135177600,up,up,up,down,down
2016/8/17,27.27499962,27.34250069,27.08499908,27.30500031,25.24934006,101424000,down,down,down,down,down
2016/8/18,27.30750084,27.39999962,27.25499916,27.27000046,25.21697426,87938800,up,up,up,down,down
2016/8/19,27.19249916,27.42250061,27.09000015,27.34000015,25.28170395,101472400,down,up,down,up,up
2016/8/22,27.21500015,27.27499962,26.96249962,27.12750053,25.08519936,103280800,up,down,down,down,down
2016/8/23,27.14749908,27.32999992,27.13249969,27.21249962,25.16379738,85030800,down,up,up,up,up
2016/8/24,27.14249992,27.1875,26.92000008,27.00749969,24.97423363,94700400,down,down,down,down,down
2016/8/25,26.84749985,26.96999931,26.67000008,26.89249992,24.8678894,100344800,down,down,down,down,down
2016/8/26,26.85250092,26.98749924,26.57749939,26.73500061,24.72224808,111065200,up,up,down,down,down
2016/8/29,26.65500069,26.86000061,26.57250023,26.70499992,24.69451141,99881200,down,down,down,down,down
2016/8/30,26.45000076,26.625,26.375,26.5,24.50494003,99455600,down,down,down,down,down
2016/8/31,26.41500092,26.64249992,26.40999985,26.52499962,24.52805901,118649600,down,up,up,up,up
2016/9/1,26.53499985,26.70000076,26.40500069,26.68250084,24.67370224,106806000,up,up,down,up,up
2016/9/2,26.92499924,27,26.70499992,26.93250084,24.90488052,107210000,up,up,up,up,up
2016/9/6,26.97500038,27.07500076,26.87750053,26.92499924,24.8979454,107521600,up,up,up,down,down
2016/9/7,26.95750046,27.19000053,26.76749992,27.09000015,25.05052376,169457200,down,up,down,up,up
2016/9/8,26.8125,26.81749916,26.30999947,26.37999916,24.3939743,212008000,down,down,down,down,down
2016/9/9,26.15999985,26.43000031,25.78249931,25.78249931,23.84145737,186228000,down,down,down,down,down
2016/9/12,25.66250038,26.43000031,25.63249969,26.36000061,24.37547874,181171200,down,up,down,up,up
